City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Chennai,27/05/2015,119.68,137.02666666666667,9.6,16.33,19.94,56.9,4.16,11.4,43.83,5.37,4.15,1.12,298.90758620689655,Poor
Chennai,27/05/2016,51.67,156.51333333333335,3.66,18.0,15.56,167.96,1.67,3.71,49.56,2.47,7.95,1.12,85.9251724137931,Satisfactory
Chennai,27/05/2017,60.4,176.00000000000003,3.99,15.21,8.09,124.39500000000001,0.07,10.36,57.04,0.02,0.03,1.12,,
Chennai,27/05/2018,51.13,195.48666666666668,12.51,20.89,18.71,80.83,0.86,5.25,51.17,0.0,0.18,1.12,85.01275862068965,Satisfactory
Chennai,27/05/2019,45.57,214.97333333333336,7.4,13.06,18.69,24.34,1.17,6.69,47.23,0.31,0.31,1.12,75.61827586206897,Satisfactory
Chennai,27/05/2020,20.0,234.46,9.17,9.65,18.62,38.36,1.07,7.23,39.81,0.13,0.03,1.12,33.333333333333336,Good
Chennai,27/06/2015,76.57,201.93333333333334,4.06,15.11,14.84,48.26,2.33,10.04,33.37,0.86,0.12,1.12,154.15275862068964,Moderate
Chennai,27/06/2016,46.17,169.40666666666667,9.37,17.56,18.92,59.75,1.0,3.05,32.27,3.62,17.46,1.12,76.63206896551725,Satisfactory
Chennai,27/06/2017,47.32,136.88,8.18,16.28,12.56,47.935,0.02,4.67,24.61,0.02,0.03,1.12,78.5751724137931,Satisfactory
Chennai,27/06/2018,76.53,104.35333333333332,7.73,20.83,15.13,36.12,0.81,5.84,25.83,0.0,4.17,1.12,154.01620689655172,Moderate
Chennai,27/06/2019,35.11,71.82666666666665,9.49,29.01,38.48,34.66,0.86,3.91,15.31,0.02,3.69,1.12,57.94448275862069,Satisfactory
Chennai,27/06/2020,26.42,39.3,7.25,12.96,19.59,33.2,1.1,7.29,68.51,0.1,0.07,1.12,44.03333333333334,Good
Chennai,27/07/2015,57.59,38.796,6.64,18.92,17.87,44.13,2.16,12.57,24.5,0.29000000000000004,0.09,1.12,95.92793103448277,Satisfactory
Chennai,27/07/2016,24.43,38.292,3.23,7.59,8.09,93.67,1.22,2.36,24.2,0.48,0.9,1.12,40.71666666666667,Good
Chennai,27/07/2017,51.29,37.788,6.65,12.4,9.5,77.53999999999999,0.03,4.81,23.46,0.01,0.0,1.12,85.28310344827585,Satisfactory
Chennai,27/07/2018,41.69,37.284,10.76,24.76,19.2,61.41,0.85,5.64,17.6,0.0,7.55,1.12,69.06241379310345,Satisfactory
Chennai,27/07/2019,25.94,36.78,8.22,20.83,29.0,36.58,0.84,6.32,29.16,4.82,4.92,1.12,43.233333333333334,Good
Chennai,27/08/2015,39.65,34.55,7.25,12.82,16.21,25.89,1.94,12.83,12.59,39.39,3.09,1.12,65.61551724137931,Satisfactory
Chennai,27/08/2016,32.14,32.32,7.65,12.66,15.43,41.25,0.95,5.16,10.76,1.31,4.27,1.12,52.926206896551726,Satisfactory
Chennai,27/08/2017,34.32,30.09,7.46,11.56,7.65,56.61,0.52,5.08,17.52,0.0,0.12,1.12,56.609655172413795,Satisfactory
Chennai,27/08/2018,34.87,27.86,9.64,18.75,28.39,71.97,0.9,12.04,10.38,0.0,5.27,1.12,57.53896551724137,Satisfactory
Chennai,27/08/2019,18.64,25.63,6.12,19.81,25.87,20.03,0.59,5.48,38.69,0.3,0.45,1.12,31.06666666666667,Good
Chennai,27/09/2015,86.4,29.642,12.74,10.03,17.36,25.37,1.02,16.69,52.35,1.88,1.24,1.12,187.71034482758623,Moderate
Chennai,27/09/2016,31.93,33.653999999999996,14.65,19.07,19.56,29.369999999999997,0.04,2.09,46.34,0.68,0.61,1.12,52.571379310344824,Satisfactory
Chennai,27/09/2017,51.96,37.666,16.97,27.26,22.68,33.37,0.37,25.33,21.74,0.06,4.2,1.12,86.4151724137931,Satisfactory
Chennai,27/09/2018,28.2,41.678,10.21,13.68,23.88,53.67,0.74,5.66,14.0,0.08,0.0,1.12,47.0,Good
Chennai,27/09/2019,17.76,45.69,4.84,10.05,12.39,25.31,0.89,7.13,44.14,0.02,0.96,1.12,29.600000000000005,Good
Chennai,27/10/2015,54.0,75.81,10.84,13.79,18.37,73.0,0.88,9.78,59.47,0.835,3.495,1.12,89.86206896551724,Satisfactory
Chennai,27/10/2016,98.0,105.92999999999999,6.84,13.5,11.11,89.255,0.1,5.46,62.24,1.65,6.03,1.12,224.89655172413794,Poor
